Año,Mes,CCAA,Producto,CONSUMO X CAPITA,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,VALOR (Miles Euros),VOLUMEN (Miles kg ó litros)
2018,Enero,Baleares,JUDIAS VERDES,0.15,0.45,44.65,2.98,458.82,154.10
2018,Enero,Baleares,PIMIENTOS,0.38,0.76,54.82,2.01,787.99,392.80
2018,Enero,Baleares,CHAMPIÑONES+O.SETAS,0.19,0.64,49.26,3.37,655.11,194.17
2018,Enero,Baleares,LECHUGA/ESC./ENDIVIA,0.27,0.80,63.61,2.93,819.08,279.64
2018,Enero,Baleares,ESPARRAGOS,0.02,0.04,4.06,2.14,44.88,20.93
2018,Enero,Baleares,VERDURAS DE HOJA,0.07,0.24,25.19,3.17,244.47,77.09
2018,Enero,Baleares,BERENJENAS,0.11,0.19,33.16,1.81,195.36,108.22
2018,Enero,Baleares,ZANAHORIAS,0.36,0.29,64.02,0.81,301.24,372.95
2018,Enero,Baleares,CALABACINES,0.24,0.39,48.07,1.65,403.12,243.90
2018,Enero,Baleares,OTR.HORTALIZAS/VERD.,1.14,2.30,86.79,2.02,2373.30,1172.06
2018,Enero,Baleares,BROCOLI,0.13,0.24,34.20,1.77,243.09,137.72
2018,Enero,Baleares,ALCACHOFAS,0.19,0.38,41.17,2.04,392.61,192.67
2018,Enero,Baleares,APIO,,,0.00,,0.00,0.00
2018,Enero,Baleares,COLIFLOR,,,0.00,,0.00,0.00
2018,Enero,Baleares,VERD./HORT. IV GAMA,0.91,1.99,68.82,2.20,2053.41,934.99
2018,Enero,Baleares,PUERRO,,,0.00,,0.00,0.00
2018,Enero,Baleares,T.FRUTAS FRESCAS,6.01,9.70,92.79,1.61,9991.63,6193.81
2018,Enero,Baleares,NARANJAS,1.20,1.03,48.01,0.85,1057.97,1239.74
2018,Enero,Baleares,MANDARINAS,0.76,1.03,49.62,1.35,1059.87,787.91
2018,Enero,Baleares,LIMONES,0.11,0.16,23.54,1.42,166.88,117.44
2018,Enero,Baleares,PLATANOS,1.26,1.91,83.56,1.52,1969.81,1296.76
2018,Enero,Baleares,MANZANAS,0.78,1.13,65.26,1.44,1164.79,807.32
2018,Enero,Baleares,PERAS,0.44,0.68,49.03,1.55,704.65,453.89
2018,Enero,Baleares,MELOCOTONES,0.00,0.00,0.00,,0.00,0.00
2018,Enero,Baleares,NECTARINAS,0.02,0.03,4.50,1.44,25.96,18.08
2018,Enero,Baleares,ALBARICOQUES,0.00,0.00,0.00,,0.00,0.00
2018,Enero,Baleares,FRESAS/FRESON,0.13,0.59,26.00,4.40,608.33,138.25
2018,Enero,Baleares,MELON,0.12,0.21,12.05,1.70,214.00,125.53
2018,Enero,Baleares,SANDIA,0.00,0.00,0.00,,0.00,0.00
2018,Enero,Baleares,CIRUELAS,0.01,0.02,1.85,2.86,16.16,5.64
2018,Enero,Baleares,CEREZAS,0.00,0.00,0.00,,0.00,0.00
2018,Enero,Baleares,UVAS,0.16,0.62,23.03,3.90,638.36,163.85
2018,Enero,Baleares,KIWI,0.28,0.73,49.76,2.63,747.64,284.16
2018,Enero,Baleares,AGUACATE,0.14,0.44,24.74,3.22,454.60,140.97
2018,Enero,Baleares,PIÑA,0.15,0.20,11.03,1.34,209.64,156.23
2018,Enero,Baleares,OTRAS FRUTAS FRESCAS,0.44,0.93,37.94,2.08,952.98,458.01
2018,Enero,Baleares,POMELO,0.02,0.02,1.42,1.18,19.72,16.78
2018,Enero,Baleares,CHIRIMOYA,0.00,0.00,0.00,,0.00,0.00
2018,Enero,Baleares,MANGO,,,0.00,,0.00,0.00
2018,Enero,Baleares,FRUTAS IV GAMA,0.34,0.59,27.38,1.73,609.04,352.47
2018,Enero,Valencia,TOTAL PATATAS,2.51,1.95,84.92,0.78,9206.05,11865.23
2018,Enero,Valencia,PATATAS FRESCAS,1.82,1.24,73.56,0.68,5886.80,8602.49
2018,Enero,Valencia,PATATAS CONGELADAS,0.09,0.12,13.78,1.32,581.47,439.96
2018,Enero,Valencia,PATATAS PROCESADAS,0.12,0.58,49.64,4.85,2737.78,564.56
2018,Enero,Valencia,PATATAS FRITAS,,,0.00,,0.00,0.00
2018,Enero,Valencia,T.HORTALIZAS FRESCAS,5.48,9.63,98.35,1.76,45578.41,25955.62
2018,Enero,Valencia,TOMATES,1.02,1.61,78.56,1.58,7614.75,4805.86
2018,Enero,Valencia,CEBOLLAS,0.66,0.60,67.53,0.91,2855.99,3132.74
2018,Enero,Valencia,AJOS,0.05,0.23,30.68,4.44,1074.59,242.29
2018,Enero,Valencia,COLES,0.09,0.11,20.59,1.16,513.89,442.64
2018,Enero,Valencia,PEPINOS,0.17,0.25,33.29,1.50,1206.31,801.59
2018,Enero,Valencia,JUDIAS VERDES,0.15,0.49,37.86,3.24,2335.83,720.67
2018,Enero,Valencia,PIMIENTOS,0.35,0.62,60.45,1.77,2949.09,1666.61
2018,Enero,Valencia,CHAMPIÑONES+O.SETAS,0.16,0.59,47.79,3.61,2775.61,769.22
2018,Enero,Valencia,LECHUGA/ESC./ENDIVIA,0.28,0.82,63.84,2.96,3876.45,1308.37
2018,Enero,Valencia,ESPARRAGOS,0.04,0.14,9.33,3.56,657.69,184.69
2018,Enero,Valencia,VERDURAS DE HOJA,0.18,0.41,36.15,2.30,1940.77,844.72
2018,Enero,Valencia,BERENJENAS,0.15,0.26,32.51,1.76,1248.27,711.04
2018,Enero,Valencia,ZANAHORIAS,0.32,0.26,59.11,0.81,1225.69,1519.13
2018,Enero,Valencia,CALABACINES,0.33,0.47,59.75,1.42,2231.38,1575.77
2018,Enero,Valencia,OTR.HORTALIZAS/VERD.,1.53,2.76,86.63,1.81,13072.09,7230.29
2018,Enero,Valencia,BROCOLI,0.14,0.20,30.38,1.35,925.01,686.05
2018,Enero,Valencia,ALCACHOFAS,0.48,0.76,45.74,1.58,3594.19,2275.94
2018,Enero,Valencia,APIO,,,0.00,,0.00,0.00
2018,Enero,Valencia,COLIFLOR,,,0.00,,0.00,0.00
2018,Enero,Valencia,VERD./HORT. IV GAMA,0.54,1.58,72.59,2.90,7474.21,2578.57
2018,Enero,Valencia,PUERRO,,,0.00,,0.00,0.00
2018,Enero,Valencia,T.FRUTAS FRESCAS,6.32,8.93,93.41,1.41,42272.65,29900.96
2018,Enero,Valencia,NARANJAS,1.54,1.29,45.59,0.83,6091.71,7308.49
2018,Enero,Valencia,MANDARINAS,0.83,1.03,48.36,1.25,4879.32,3910.14
2018,Enero,Valencia,LIMONES,0.19,0.26,29.24,1.38,1248.17,902.72
2018,Enero,Valencia,PLATANOS,1.16,1.62,80.96,1.40,7663.89,5483.51
2018,Enero,Valencia,MANZANAS,0.81,1.11,67.67,1.37,5268.38,3854.55
2018,Enero,Valencia,PERAS,0.40,0.56,47.17,1.39,2627.88,1887.33
2018,Enero,Valencia,MELOCOTONES,0.00,0.00,0.75,1.29,17.57,13.65
2018,Enero,Valencia,NECTARINAS,0.01,0.01,1.13,2.82,70.22,24.86
2018,Enero,Valencia,ALBARICOQUES,0.00,0.01,1.34,1.78,39.29,22.13
2018,Enero,Valencia,FRESAS/FRESON,0.20,0.71,35.47,3.61,3357.42,930.29
2018,Enero,Valencia,MELON,0.20,0.22,7.47,1.11,1053.70,950.96
2018,Enero,Valencia,SANDIA,0.02,0.03,0.54,1.63,132.30,81.26
2018,Enero,Valencia,CIRUELAS,0.01,0.03,1.75,2.20,118.60,53.97
2018,Enero,Valencia,CEREZAS,0.01,0.06,2.94,5.04,304.40,60.37
2018,Enero,Valencia,UVAS,0.07,0.20,16.95,2.82,967.27,342.93
2018,Enero,Valencia,KIWI,0.22,0.51,31.02,2.32,2393.28,1030.70
2018,Enero,Valencia,AGUACATE,0.08,0.26,22.63,3.24,1246.84,384.49
2018,Enero,Valencia,PIÑA,0.21,0.29,23.52,1.40,1362.72,972.29
2018,Enero,Valencia,OTRAS FRUTAS FRESCAS,0.36,0.72,43.57,2.03,3429.69,1686.31
2018,Enero,Valencia,POMELO,0.04,0.05,4.21,1.35,235.09,174.54
2018,Enero,Valencia,CHIRIMOYA,0.00,0.00,0.00,,0.00,0.00
2018,Enero,Valencia,MANGO,,,0.00,,0.00,0.00
2018,Enero,Valencia,FRUTAS IV GAMA,0.28,0.45,27.98,1.62,2124.83,1313.87
2018,Enero,Murcia,TOTAL PATATAS,2.30,1.98,82.18,0.86,2823.00,3268.95
2018,Enero,Murcia,PATATAS FRESCAS,1.71,1.31,67.75,0.77,1862.62,2433.88
2018,Enero,Murcia,PATATAS CONGELADAS,0.07,0.10,14.98,1.34,141.95,106.15
2018,Enero,Murcia,PATATAS PROCESADAS,0.10,0.57,50.31,5.61,818.43,145.78
2018,Enero,Murcia,PATATAS FRITAS,,,0.00,,0.00,0.00
2018,Enero,Murcia,T.HORTALIZAS FRESCAS,4.41,7.33,94.68,1.66,10445.54,6285.04
2018,Enero,Murcia,TOMATES,0.98,1.48,76.09,1.51,2102.58,1390.69
2018,Enero,Murcia,CEBOLLAS,0.51,0.50,65.24,0.99,715.86,721.03
2018,Enero,Murcia,AJOS,0.09,0.36,53.48,3.92,510.63,130.27
2018,Enero,Murcia,COLES,0.16,0.14,25.12,0.93,206.40,223.13
2018,Enero,Murcia,PEPINOS,0.09,0.11,19.47,1.26,153.42,122.21
2018,Enero,Murcia,JUDIAS VERDES,0.12,0.35,33.77,3.00,496.38,165.67
2018,Enero,Murcia,PIMIENTOS,0.30,0.51,58.10,1.72,723.97,421.08
2018,Enero,Murcia,CHAMPIÑONES+O.SETAS,0.10,0.32,33.94,3.12,453.75,145.60
2018,Enero,Murcia,LECHUGA/ESC./ENDIVIA,0.22,0.61,51.43,2.78,874.45,314.27
2018,Enero,Murcia,ESPARRAGOS,0.06,0.09,8.48,1.67,134.45,80.30
2018,Enero,Murcia,VERDURAS DE HOJA,0.08,0.18,23.91,2.15,255.56,118.68
2018,Enero,Murcia,BERENJENAS,0.14,0.22,29.11,1.55,315.25,203.32
2018,Enero,Murcia,ZANAHORIAS,0.23,0.17,58.88,0.73,238.62,325.45
2018,Enero,Murcia,CALABACINES,0.30,0.39,49.70,1.30,551.55,422.78
2018,Enero,Murcia,OTR.HORTALIZAS/VERD.,1.05,1.90,76.61,1.81,2712.68,1500.56
2018,Enero,Murcia,BROCOLI,0.11,0.14,18.00,1.20,192.27,159.95
2018,Enero,Murcia,ALCACHOFAS,0.27,0.46,36.82,1.68,656.66,391.29
2018,Enero,Murcia,APIO,,,0.00,,0.00,0.00
2018,Enero,Murcia,COLIFLOR,,,0.00,,0.00,0.00
2018,Enero,Murcia,VERD./HORT. IV GAMA,0.35,1.00,53.17,2.83,1429.52,504.93
2018,Enero,Murcia,PUERRO,,,0.00,,0.00,0.00
2018,Enero,Murcia,T.FRUTAS FRESCAS,6.28,9.18,92.39,1.46,13075.44,8949.83
2018,Enero,Murcia,NARANJAS,1.77,1.53,48.39,0.86,2176.37,2525.18
2018,Enero,Murcia,MANDARINAS,0.72,0.95,46.49,1.32,1356.17,1029.37
2018,Enero,Murcia,LIMONES,0.32,0.61,28.47,1.89,863.25,456.94
2018,Enero,Murcia,PLATANOS,1.02,1.40,68.48,1.37,1987.99,1448.12
2018,Enero,Murcia,MANZANAS,0.77,1.10,69.74,1.42,1569.66,1102.16
2018,Enero,Murcia,PERAS,0.40,0.56,43.84,1.41,797.94,567.43
2018,Enero,Murcia,MELOCOTONES,0.00,0.00,0.00,,0.00,0.00
2018,Enero,Murcia,NECTARINAS,0.00,0.01,1.31,1.99,13.08,6.57
2018,Enero,Murcia,ALBARICOQUES,0.00,0.01,0.74,1.29,8.34,6.47
2018,Enero,Murcia,FRESAS/FRESON,0.25,0.90,31.83,3.69,1286.69,348.94
2018,Enero,Murcia,MELON,0.14,0.16,9.71,1.16,231.02,198.79
2018,Enero,Murcia,SANDIA,0.00,0.00,0.00,,0.00,0.00
2018,Enero,Murcia,CIRUELAS,0.05,0.09,2.98,1.94,131.13,67.75
2018,Enero,Murcia,CEREZAS,0.01,0.03,2.32,3.61,40.11,11.11
2018,Enero,Murcia,UVAS,0.07,0.24,22.09,3.23,340.71,105.60
2018,Enero,Murcia,KIWI,0.18,0.52,34.82,2.95,738.06,250.20
2018,Enero,Murcia,AGUACATE,0.05,0.19,20.15,3.93,272.36,69.37
2018,Enero,Murcia,PIÑA,0.26,0.30,22.30,1.15,424.42,370.10
2018,Enero,Murcia,OTRAS FRUTAS FRESCAS,0.27,0.59,36.01,2.17,838.15,385.75
