field1,Año,Mes,CCAA,Producto,GASTO X CAPITA,PENETRACION (%),PRECIO MEDIO kg ó litros,score
99,2018,1,Cataluña,CHIRIMOYA,0.0,0.0,0.0,0.55902
100,2018,1,Cataluña,MANGO,0.0,0.0,0.0,0.55902
103,2018,1,Aragon,PATATAS FRESCAS,1.03,63.55,0.65,0.56769
104,2018,1,Aragon,PATATAS CONGELADAS,0.06,9.95,1.2,0.53158
106,2018,1,Aragon,PATATAS FRITAS,0.0,0.0,0.0,0.55174
108,2018,1,Aragon,TOMATES,1.55,87.79,1.77,0.59255
109,2018,1,Aragon,CEBOLLAS,0.62,73.15,1.05,0.5617
110,2018,1,Aragon,AJOS,0.19,31.91,4.01,0.5498
111,2018,1,Aragon,COLES,0.12,22.15,1.05,0.5348
112,2018,1,Aragon,PEPINOS,0.21,24.84,1.57,0.52248
113,2018,1,Aragon,JUDIAS VERDES,0.63,36.53,2.92,0.53893
114,2018,1,Aragon,PIMIENTOS,0.62,55.9,1.9,0.53691
115,2018,1,Aragon,CHAMPIÑONES+O.SETAS,0.46,51.25,3.91,0.5596
116,2018,1,Aragon,LECHUGA/ESC./ENDIVIA,1.14,63.68,2.82,0.56581
117,2018,1,Aragon,ESPARRAGOS,0.16,11.71,4.17,0.56054
119,2018,1,Aragon,BERENJENAS,0.12,21.06,1.81,0.52488
120,2018,1,Aragon,ZANAHORIAS,0.24,57.95,0.82,0.55751
121,2018,1,Aragon,CALABACINES,0.51,51.23,1.45,0.52477
123,2018,1,Aragon,BROCOLI,0.29,36.87,1.12,0.53368
124,2018,1,Aragon,ALCACHOFAS,0.19,18.23,1.79,0.52488
125,2018,1,Aragon,APIO,0.0,0.0,0.0,0.55174
126,2018,1,Aragon,COLIFLOR,0.0,0.0,0.0,0.55174
128,2018,1,Aragon,PUERRO,0.0,0.0,0.0,0.55174
130,2018,1,Aragon,NARANJAS,1.84,64.21,0.93,0.57975
131,2018,1,Aragon,MANDARINAS,1.77,75.75,1.3,0.58265
132,2018,1,Aragon,LIMONES,0.27,32.77,1.59,0.52172
133,2018,1,Aragon,PLATANOS,1.54,80.35,1.42,0.57746
134,2018,1,Aragon,MANZANAS,1.18,64.55,1.4,0.54695
135,2018,1,Aragon,PERAS,0.65,50.42,1.41,0.52542
136,2018,1,Aragon,MELOCOTONES,0.01,0.2,3.81,0.57387
137,2018,1,Aragon,NECTARINAS,0.01,0.73,2.44,0.5457
138,2018,1,Aragon,ALBARICOQUES,0.0,0.34,2.0,0.54174
139,2018,1,Aragon,FRESAS/FRESON,0.57,36.2,2.87,0.53602
140,2018,1,Aragon,MELON,0.06,4.0,1.67,0.53103
141,2018,1,Aragon,SANDIA,0.0,0.19,0.88,0.54854
142,2018,1,Aragon,CIRUELAS,0.01,1.1,1.42,0.53502
143,2018,1,Aragon,CEREZAS,0.0,0.0,0.0,0.55129
144,2018,1,Aragon,UVAS,0.25,16.93,2.98,0.53915
145,2018,1,Aragon,KIWI,0.86,44.41,2.91,0.54968
146,2018,1,Aragon,AGUACATE,0.34,21.35,3.79,0.54888
147,2018,1,Aragon,PIÑA,0.27,31.13,1.47,0.5201
148,2018,1,Aragon,OTRAS FRUTAS FRESCAS,0.75,41.19,2.51,0.53669
149,2018,1,Aragon,POMELO,0.04,6.45,1.51,0.53103
150,2018,1,Aragon,CHIRIMOYA,0.0,0.0,0.0,0.55071
151,2018,1,Aragon,MANGO,0.0,0.0,0.0,0.55071
154,2018,1,Baleares,PATATAS FRESCAS,1.36,75.16,0.74,0.57987
155,2018,1,Baleares,PATATAS CONGELADAS,0.11,12.65,1.34,0.52259
156,2018,1,Baleares,PATATAS PROCESADAS,0.59,44.5,4.72,0.58168
157,2018,1,Baleares,PATATAS FRITAS,0.0,0.0,0.0,0.55094
159,2018,1,Baleares,TOMATES,1.74,83.93,1.86,0.5965
160,2018,1,Baleares,CEBOLLAS,0.88,81.61,1.03,0.57482
161,2018,1,Baleares,AJOS,0.19,28.91,4.63,0.57363
162,2018,1,Baleares,COLES,0.19,31.48,1.44,0.51783
163,2018,1,Baleares,PEPINOS,0.2,18.71,1.86,0.52075
164,2018,1,Baleares,JUDIAS VERDES,0.45,44.65,2.98,0.53335
165,2018,1,Baleares,PIMIENTOS,0.76,54.82,2.01,0.53994
166,2018,1,Baleares,CHAMPIÑONES+O.SETAS,0.64,49.26,3.37,0.54524
167,2018,1,Baleares,LECHUGA/ESC./ENDIVIA,0.8,63.61,2.93,0.55914
168,2018,1,Baleares,ESPARRAGOS,0.04,4.06,2.14,0.54039
170,2018,1,Baleares,BERENJENAS,0.19,33.16,1.81,0.51697
171,2018,1,Baleares,ZANAHORIAS,0.29,64.02,0.81,0.56276
172,2018,1,Baleares,CALABACINES,0.39,48.07,1.65,0.52411
174,2018,1,Baleares,BROCOLI,0.24,34.2,1.77,0.51557
175,2018,1,Baleares,ALCACHOFAS,0.38,41.17,2.04,0.52893
176,2018,1,Baleares,APIO,0.0,0.0,0.0,0.55071
177,2018,1,Baleares,COLIFLOR,0.0,0.0,0.0,0.55071
179,2018,1,Baleares,PUERRO,0.0,0.0,0.0,0.5506
181,2018,1,Baleares,NARANJAS,1.03,48.01,0.85,0.55106
182,2018,1,Baleares,MANDARINAS,1.03,49.62,1.35,0.53725
183,2018,1,Baleares,LIMONES,0.16,23.54,1.42,0.51461
184,2018,1,Baleares,PLATANOS,1.91,83.56,1.52,0.59924
185,2018,1,Baleares,MANZANAS,1.13,65.26,1.44,0.54547
186,2018,1,Baleares,PERAS,0.68,49.03,1.55,0.52368
187,2018,1,Baleares,MELOCOTONES,0.0,0.0,0.0,0.55014
188,2018,1,Baleares,NECTARINAS,0.03,4.5,1.44,0.52992
189,2018,1,Baleares,ALBARICOQUES,0.0,0.0,0.0,0.54945
190,2018,1,Baleares,FRESAS/FRESON,0.59,26.0,4.4,0.57363
191,2018,1,Baleares,MELON,0.21,12.05,1.7,0.52335
192,2018,1,Baleares,SANDIA,0.0,0.0,0.0,0.54945
193,2018,1,Baleares,CIRUELAS,0.02,1.85,2.86,0.55255
194,2018,1,Baleares,CEREZAS,0.0,0.0,0.0,0.54751
195,2018,1,Baleares,UVAS,0.62,23.03,3.9,0.56124
196,2018,1,Baleares,KIWI,0.73,49.76,2.63,0.5377
197,2018,1,Baleares,AGUACATE,0.44,24.74,3.22,0.53636
198,2018,1,Baleares,PIÑA,0.2,11.03,1.34,0.52641
199,2018,1,Baleares,OTRAS FRUTAS FRESCAS,0.93,37.94,2.08,0.53882
200,2018,1,Baleares,POMELO,0.02,1.42,1.18,0.53636
201,2018,1,Baleares,CHIRIMOYA,0.0,0.0,0.0,0.54763
202,2018,1,Baleares,MANGO,0.0,0.0,0.0,0.54763
205,2018,1,Valencia,PATATAS FRESCAS,1.24,73.56,0.68,0.57686
206,2018,1,Valencia,PATATAS CONGELADAS,0.12,13.78,1.32,0.51783
207,2018,1,Valencia,PATATAS PROCESADAS,0.58,49.64,4.85,0.58837
208,2018,1,Valencia,PATATAS FRITAS,0.0,0.0,0.0,0.55048
210,2018,1,Valencia,TOMATES,1.61,78.56,1.58,0.57148
211,2018,1,Valencia,CEBOLLAS,0.6,67.53,0.91,0.5537
212,2018,1,Valencia,AJOS,0.23,30.68,4.44,0.55914
213,2018,1,Valencia,COLES,0.11,20.59,1.16,0.52107
214,2018,1,Valencia,PEPINOS,0.25,33.29,1.5,0.51354
215,2018,1,Valencia,JUDIAS VERDES,0.49,37.86,3.24,0.53513
216,2018,1,Valencia,PIMIENTOS,0.62,60.45,1.77,0.52707
217,2018,1,Valencia,CHAMPIÑONES+O.SETAS,0.59,47.79,3.61,0.54957
218,2018,1,Valencia,LECHUGA/ESC./ENDIVIA,0.82,63.84,2.96,0.56463
219,2018,1,Valencia,ESPARRAGOS,0.14,9.33,3.56,0.54923
221,2018,1,Valencia,BERENJENAS,0.26,32.51,1.76,0.51258
222,2018,1,Valencia,ZANAHORIAS,0.26,59.11,0.81,0.54445
223,2018,1,Valencia,CALABACINES,0.47,59.75,1.42,0.52237
225,2018,1,Valencia,BROCOLI,0.2,30.38,1.35,0.50791
226,2018,1,Valencia,ALCACHOFAS,0.76,45.74,1.58,0.52259
227,2018,1,Valencia,APIO,0.0,0.0,0.0,0.54763
228,2018,1,Valencia,COLIFLOR,0.0,0.0,0.0,0.54763
230,2018,1,Valencia,PUERRO,0.0,0.0,0.0,0.54763
232,2018,1,Valencia,NARANJAS,1.29,45.59,0.83,0.55543
233,2018,1,Valencia,MANDARINAS,1.03,48.36,1.25,0.53324
234,2018,1,Valencia,LIMONES,0.26,29.24,1.38,0.50675
235,2018,1,Valencia,PLATANOS,1.62,80.96,1.4,0.57758
236,2018,1,Valencia,MANZANAS,1.11,67.67,1.37,0.53949
237,2018,1,Valencia,PERAS,0.56,47.17,1.39,0.51686
238,2018,1,Valencia,MELOCOTONES,0.0,0.75,1.29,0.53213
239,2018,1,Valencia,NECTARINAS,0.01,1.13,2.82,0.54763
240,2018,1,Valencia,ALBARICOQUES,0.01,1.34,1.78,0.53059
241,2018,1,Valencia,FRESAS/FRESON,0.71,35.47,3.61,0.5474
242,2018,1,Valencia,MELON,0.22,7.47,1.11,0.53558
243,2018,1,Valencia,SANDIA,0.03,0.54,1.63,0.53402
244,2018,1,Valencia,CIRUELAS,0.03,1.75,2.2,0.53569
245,2018,1,Valencia,CEREZAS,0.06,2.94,5.04,0.5923
246,2018,1,Valencia,UVAS,0.2,16.95,2.82,0.52882
247,2018,1,Valencia,KIWI,0.51,31.02,2.32,0.51988
248,2018,1,Valencia,AGUACATE,0.26,22.63,3.24,0.52772
249,2018,1,Valencia,PIÑA,0.29,23.52,1.4,0.51024
250,2018,1,Valencia,OTRAS FRUTAS FRESCAS,0.72,43.57,2.03,0.52499
251,2018,1,Valencia,POMELO,0.05,4.21,1.35,0.524
252,2018,1,Valencia,CHIRIMOYA,0.0,0.0,0.0,0.54729
253,2018,1,Valencia,MANGO,0.0,0.0,0.0,0.54729
256,2018,1,Murcia,PATATAS FRESCAS,1.31,67.75,0.77,0.5671
257,2018,1,Murcia,PATATAS CONGELADAS,0.1,14.98,1.34,0.51205
259,2018,1,Murcia,PATATAS FRITAS,0.0,0.0,0.0,0.53926
261,2018,1,Murcia,TOMATES,1.48,76.09,1.51,0.56451
262,2018,1,Murcia,CEBOLLAS,0.5,65.24,0.99,0.54241
263,2018,1,Murcia,AJOS,0.36,53.48,3.92,0.55083
264,2018,1,Murcia,COLES,0.14,25.12,0.93,0.52216
265,2018,1,Murcia,PEPINOS,0.11,19.47,1.26,0.51258
266,2018,1,Murcia,JUDIAS VERDES,0.35,33.77,3.0,0.51665
267,2018,1,Murcia,PIMIENTOS,0.51,58.1,1.72,0.52107
268,2018,1,Murcia,CHAMPIÑONES+O.SETAS,0.32,33.94,3.12,0.51794
269,2018,1,Murcia,LECHUGA/ESC./ENDIVIA,0.61,51.43,2.78,0.53402
270,2018,1,Murcia,ESPARRAGOS,0.09,8.48,1.67,0.51183
272,2018,1,Murcia,BERENJENAS,0.22,29.11,1.55,0.50088
273,2018,1,Murcia,ZANAHORIAS,0.17,58.88,0.73,0.55186
274,2018,1,Murcia,CALABACINES,0.39,49.7,1.3,0.51386
276,2018,1,Murcia,BROCOLI,0.14,18.0,1.2,0.50992
277,2018,1,Murcia,ALCACHOFAS,0.46,36.82,1.68,0.50791
278,2018,1,Murcia,APIO,0.0,0.0,0.0,0.53904
279,2018,1,Murcia,COLIFLOR,0.0,0.0,0.0,0.53859
281,2018,1,Murcia,PUERRO,0.0,0.0,0.0,0.53859
283,2018,1,Murcia,NARANJAS,1.53,48.39,0.86,0.55879
284,2018,1,Murcia,MANDARINAS,0.95,46.49,1.32,0.5251
285,2018,1,Murcia,LIMONES,0.61,28.47,1.89,0.52531
286,2018,1,Murcia,PLATANOS,1.4,68.48,1.37,0.55786
287,2018,1,Murcia,MANZANAS,1.1,69.74,1.42,0.55117
288,2018,1,Murcia,PERAS,0.56,43.84,1.41,0.51088
289,2018,1,Murcia,MELOCOTONES,0.0,0.0,0.0,0.53859
290,2018,1,Murcia,NECTARINAS,0.01,1.31,1.99,0.52783
291,2018,1,Murcia,ALBARICOQUES,0.01,0.74,1.29,0.5275
292,2018,1,Murcia,FRESAS/FRESON,0.9,31.83,3.69,0.55301
293,2018,1,Murcia,MELON,0.16,9.71,1.16,0.51783
294,2018,1,Murcia,SANDIA,0.0,0.0,0.0,0.5387
295,2018,1,Murcia,CIRUELAS,0.09,2.98,1.94,0.52075
296,2018,1,Murcia,CEREZAS,0.03,2.32,3.61,0.54991
297,2018,1,Murcia,UVAS,0.24,22.09,3.23,0.52096
298,2018,1,Murcia,KIWI,0.52,34.82,2.95,0.51999
299,2018,1,Murcia,AGUACATE,0.19,20.15,3.93,0.53602
300,2018,1,Murcia,PIÑA,0.3,22.3,1.15,0.5096
301,2018,1,Murcia,OTRAS FRUTAS FRESCAS,0.59,36.01,2.17,0.51891
302,2018,1,Murcia,POMELO,0.05,2.83,1.68,0.51783
303,2018,1,Murcia,CHIRIMOYA,0.0,0.0,0.0,0.53882
304,2018,1,Murcia,MANGO,0.0,0.0,0.0,0.53882
307,2018,1,Andalucia,PATATAS FRESCAS,1.2,71.12,0.66,0.57077
308,2018,1,Andalucia,PATATAS CONGELADAS,0.13,16.79,1.19,0.5145
309,2018,1,Andalucia,PATATAS PROCESADAS,0.66,51.61,4.92,0.58837
310,2018,1,Andalucia,PATATAS FRITAS,0.0,0.0,0.0,0.54354
312,2018,1,Andalucia,TOMATES,1.27,79.01,1.47,0.5617
313,2018,1,Andalucia,CEBOLLAS,0.5,72.88,0.92,0.55083
314,2018,1,Andalucia,AJOS,0.25,40.69,3.98,0.54162
315,2018,1,Andalucia,COLES,0.12,17.48,0.98,0.52183
316,2018,1,Andalucia,PEPINOS,0.12,25.45,1.56,0.5095
317,2018,1,Andalucia,JUDIAS VERDES,0.24,32.31,2.19,0.51482
318,2018,1,Andalucia,PIMIENTOS,0.56,63.87,1.8,0.5338
319,2018,1,Andalucia,CHAMPIÑONES+O.SETAS,0.39,39.6,3.75,0.53402
320,2018,1,Andalucia,LECHUGA/ESC./ENDIVIA,0.65,57.76,2.9,0.54388
321,2018,1,Andalucia,ESPARRAGOS,0.07,7.35,2.33,0.51912
323,2018,1,Andalucia,BERENJENAS,0.17,30.99,1.62,0.50844
324,2018,1,Andalucia,ZANAHORIAS,0.2,52.51,0.78,0.53904
325,2018,1,Andalucia,CALABACINES,0.42,49.57,1.36,0.513
327,2018,1,Andalucia,BROCOLI,0.16,29.01,1.4,0.50548
328,2018,1,Andalucia,ALCACHOFAS,0.21,22.93,1.73,0.50791
329,2018,1,Andalucia,APIO,0.0,0.0,0.0,0.5423
330,2018,1,Andalucia,COLIFLOR,0.0,0.0,0.0,0.5423
332,2018,1,Andalucia,PUERRO,0.0,0.0,0.0,0.54241
334,2018,1,Andalucia,NARANJAS,1.55,56.44,0.89,0.56299
335,2018,1,Andalucia,MANDARINAS,1.0,56.79,1.26,0.53346
336,2018,1,Andalucia,LIMONES,0.25,31.34,1.47,0.5078
337,2018,1,Andalucia,PLATANOS,1.37,80.05,1.37,0.56616
338,2018,1,Andalucia,MANZANAS,1.01,64.2,1.42,0.5368
339,2018,1,Andalucia,PERAS,0.5,46.84,1.43,0.51024
340,2018,1,Andalucia,MELOCOTONES,0.0,0.16,3.14,0.54479
341,2018,1,Andalucia,NECTARINAS,0.03,2.91,1.24,0.51568
342,2018,1,Andalucia,ALBARICOQUES,0.0,0.64,1.9,0.52226
343,2018,1,Andalucia,FRESAS/FRESON,0.58,34.12,3.54,0.5318
344,2018,1,Andalucia,MELON,0.16,8.72,1.64,0.51471
345,2018,1,Andalucia,SANDIA,0.0,0.48,1.96,0.52281
346,2018,1,Andalucia,CIRUELAS,0.01,1.65,1.97,0.51977
347,2018,1,Andalucia,CEREZAS,0.0,0.56,4.72,0.58301
348,2018,1,Andalucia,UVAS,0.19,15.71,2.91,0.52575
349,2018,1,Andalucia,KIWI,0.5,33.67,2.66,0.51869
350,2018,1,Andalucia,AGUACATE,0.26,22.28,2.98,0.52346
351,2018,1,Andalucia,PIÑA,0.22,19.28,1.3,0.51397
352,2018,1,Andalucia,OTRAS FRUTAS FRESCAS,0.6,36.82,2.37,0.52564
353,2018,1,Andalucia,POMELO,0.02,1.99,1.55,0.51504
354,2018,1,Andalucia,CHIRIMOYA,0.0,0.0,0.0,0.54117
355,2018,1,Andalucia,MANGO,0.0,0.0,0.0,0.54117
358,2018,1,Madrid,PATATAS FRESCAS,1.07,70.85,0.68,0.56054
359,2018,1,Madrid,PATATAS CONGELADAS,0.11,11.79,1.18,0.50717
360,2018,1,Madrid,PATATAS PROCESADAS,0.55,45.98,4.69,0.56864
361,2018,1,Madrid,PATATAS FRITAS,0.0,0.0,0.0,0.5457
363,2018,1,Madrid,TOMATES,1.63,81.76,1.69,0.57399
364,2018,1,Madrid,CEBOLLAS,0.52,72.37,0.96,0.54456
365,2018,1,Madrid,AJOS,0.23,34.8,4.35,0.54797
366,2018,1,Madrid,COLES,0.22,29.32,1.15,0.49922
367,2018,1,Madrid,PEPINOS,0.15,24.05,1.47,0.49745
368,2018,1,Madrid,JUDIAS VERDES,0.48,37.06,2.64,0.5095
369,2018,1,Madrid,PIMIENTOS,0.7,65.52,1.89,0.53014
370,2018,1,Madrid,CHAMPIÑONES+O.SETAS,0.5,41.06,3.59,0.52641
371,2018,1,Madrid,LECHUGA/ESC./ENDIVIA,0.62,52.4,3.05,0.53169
372,2018,1,Madrid,ESPARRAGOS,0.13,11.03,4.86,0.5771
374,2018,1,Madrid,BERENJENAS,0.17,28.54,1.73,0.49498
375,2018,1,Madrid,ZANAHORIAS,0.26,61.24,0.8,0.54061
376,2018,1,Madrid,CALABACINES,0.55,60.6,1.37,0.51956
378,2018,1,Madrid,BROCOLI,0.19,28.78,1.49,0.49231
379,2018,1,Madrid,ALCACHOFAS,0.28,20.59,2.02,0.50601
380,2018,1,Madrid,APIO,0.0,0.0,0.0,0.54547
381,2018,1,Madrid,COLIFLOR,0.0,0.0,0.0,0.54547
383,2018,1,Madrid,PUERRO,0.0,0.0,0.0,0.54547
385,2018,1,Madrid,NARANJAS,2.2,66.78,0.89,0.58984
386,2018,1,Madrid,MANDARINAS,1.74,69.27,1.4,0.5596
387,2018,1,Madrid,LIMONES,0.35,40.32,1.55,0.50633
388,2018,1,Madrid,PLATANOS,1.68,79.4,1.48,0.56959
389,2018,1,Madrid,MANZANAS,1.34,65.79,1.45,0.54027
390,2018,1,Madrid,PERAS,0.75,50.94,1.44,0.51205
391,2018,1,Madrid,MELOCOTONES,0.01,0.75,2.15,0.52728
392,2018,1,Madrid,NECTARINAS,0.04,5.27,1.52,0.50854
393,2018,1,Madrid,ALBARICOQUES,0.01,2.1,1.8,0.51365
394,2018,1,Madrid,FRESAS/FRESON,0.54,29.08,3.31,0.52477
395,2018,1,Madrid,MELON,0.22,11.33,1.63,0.50559
396,2018,1,Madrid,SANDIA,0.0,0.44,1.78,0.51804
397,2018,1,Madrid,CIRUELAS,0.01,2.53,1.85,0.51343
398,2018,1,Madrid,CEREZAS,0.03,1.75,4.2,0.5664
399,2018,1,Madrid,UVAS,0.29,19.46,2.95,0.51783
400,2018,1,Madrid,KIWI,0.75,38.51,2.56,0.52205
401,2018,1,Madrid,AGUACATE,0.36,26.46,3.53,0.52031
402,2018,1,Madrid,PIÑA,0.31,24.64,1.46,0.50005
403,2018,1,Madrid,OTRAS FRUTAS FRESCAS,0.9,43.01,2.3,0.5297
404,2018,1,Madrid,POMELO,0.04,3.69,1.76,0.50875
405,2018,1,Madrid,CHIRIMOYA,0.0,0.0,0.0,0.54524
406,2018,1,Madrid,MANGO,0.0,0.0,0.0,0.54524
409,2018,1,Castilla La Mancha,PATATAS FRESCAS,0.96,64.53,0.63,0.56217
410,2018,1,Castilla La Mancha,PATATAS CONGELADAS,0.16,17.23,1.1,0.51162
411,2018,1,Castilla La Mancha,PATATAS PROCESADAS,0.52,50.65,5.04,0.59588
412,2018,1,Castilla La Mancha,PATATAS FRITAS,0.0,0.0,0.0,0.54366
414,2018,1,Castilla La Mancha,TOMATES,1.44,76.16,1.57,0.56159
415,2018,1,Castilla La Mancha,CEBOLLAS,0.41,61.93,0.99,0.53591
416,2018,1,Castilla La Mancha,AJOS,0.18,30.86,3.8,0.53926
417,2018,1,Castilla La Mancha,COLES,0.08,14.08,0.96,0.51912
418,2018,1,Castilla La Mancha,PEPINOS,0.18,32.63,1.45,0.50801
419,2018,1,Castilla La Mancha,JUDIAS VERDES,0.3,30.71,2.98,0.51783
420,2018,1,Castilla La Mancha,PIMIENTOS,0.54,56.71,1.78,0.51783
421,2018,1,Castilla La Mancha,CHAMPIÑONES+O.SETAS,0.53,54.88,4.02,0.56463
422,2018,1,Castilla La Mancha,LECHUGA/ESC./ENDIVIA,0.47,53.3,2.66,0.5263
423,2018,1,Castilla La Mancha,ESPARRAGOS,0.13,11.61,2.38,0.51482
425,2018,1,Castilla La Mancha,BERENJENAS,0.12,20.14,1.94,0.50391
426,2018,1,Castilla La Mancha,ZANAHORIAS,0.17,55.61,0.8,0.54129
427,2018,1,Castilla La Mancha,CALABACINES,0.49,59.59,1.44,0.51945
429,2018,1,Castilla La Mancha,BROCOLI,0.12,22.37,1.48,0.5037
430,2018,1,Castilla La Mancha,ALCACHOFAS,0.23,25.29,1.84,0.50475
431,2018,1,Castilla La Mancha,APIO,0.0,0.0,0.0,0.54343
432,2018,1,Castilla La Mancha,COLIFLOR,0.0,0.0,0.0,0.54343
434,2018,1,Castilla La Mancha,PUERRO,0.0,0.0,0.0,0.54354
436,2018,1,Castilla La Mancha,NARANJAS,1.72,62.47,0.83,0.57434
437,2018,1,Castilla La Mancha,MANDARINAS,1.34,67.84,1.19,0.55659
438,2018,1,Castilla La Mancha,LIMONES,0.24,42.69,1.54,0.51236
439,2018,1,Castilla La Mancha,PLATANOS,1.59,79.93,1.45,0.57674
440,2018,1,Castilla La Mancha,MANZANAS,1.06,70.56,1.35,0.54695
441,2018,1,Castilla La Mancha,PERAS,0.5,43.19,1.35,0.51471
442,2018,1,Castilla La Mancha,MELOCOTONES,0.0,0.24,1.4,0.52357
443,2018,1,Castilla La Mancha,NECTARINAS,0.01,2.08,1.7,0.51934
444,2018,1,Castilla La Mancha,ALBARICOQUES,0.0,0.0,0.0,0.54343
445,2018,1,Castilla La Mancha,FRESAS/FRESON,0.71,36.54,3.19,0.53781
446,2018,1,Castilla La Mancha,MELON,0.31,12.72,1.92,0.51826
447,2018,1,Castilla La Mancha,SANDIA,0.0,1.23,1.68,0.5214
448,2018,1,Castilla La Mancha,CIRUELAS,0.02,1.52,4.3,0.57279
449,2018,1,Castilla La Mancha,CEREZAS,0.02,1.46,4.03,0.56416
450,2018,1,Castilla La Mancha,UVAS,0.15,14.96,3.08,0.52641
451,2018,1,Castilla La Mancha,KIWI,0.56,34.44,2.4,0.51665
452,2018,1,Castilla La Mancha,AGUACATE,0.16,17.64,3.41,0.5297
453,2018,1,Castilla La Mancha,PIÑA,0.25,18.53,1.36,0.50738
454,2018,1,Castilla La Mancha,OTRAS FRUTAS FRESCAS,0.6,35.6,2.12,0.52064
455,2018,1,Castilla La Mancha,POMELO,0.03,3.06,1.74,0.51945
456,2018,1,Castilla La Mancha,CHIRIMOYA,0.0,0.0,0.0,0.54354
457,2018,1,Castilla La Mancha,MANGO,0.0,0.0,0.0,0.54354
460,2018,1,Extremadura,PATATAS FRESCAS,0.8,60.77,0.59,0.55659
461,2018,1,Extremadura,PATATAS CONGELADAS,0.12,12.7,1.08,0.51066
462,2018,1,Extremadura,PATATAS PROCESADAS,0.39,46.07,5.16,0.59255
463,2018,1,Extremadura,PATATAS FRITAS,0.0,0.0,0.0,0.53402
465,2018,1,Extremadura,TOMATES,1.09,78.05,1.51,0.55474
466,2018,1,Extremadura,CEBOLLAS,0.41,61.46,1.0,0.53781
467,2018,1,Extremadura,AJOS,0.18,37.45,4.07,0.54774
468,2018,1,Extremadura,COLES,0.13,12.4,0.83,0.5201
469,2018,1,Extremadura,PEPINOS,0.08,20.2,1.45,0.50265
470,2018,1,Extremadura,JUDIAS VERDES,0.17,21.8,2.63,0.51141
471,2018,1,Extremadura,PIMIENTOS,0.38,53.42,1.8,0.5227
472,2018,1,Extremadura,CHAMPIÑONES+O.SETAS,0.26,41.53,3.36,0.53202
473,2018,1,Extremadura,LECHUGA/ESC./ENDIVIA,0.69,55.49,2.74,0.5432
