,year,month,expenses_per_capita,average_price_per_kg_or_l
11565,2019,1,0.0,1.59
11616,2019,1,0.01,1.24
11667,2019,1,0.0,0.0
11718,2019,1,0.0,0.0
11769,2019,1,0.01,2.65
11820,2019,1,0.0,0.0
11871,2019,1,0.0,0.0
11922,2019,1,0.01,1.62
12024,2019,2,0.01,1.82
12075,2019,2,0.0,0.0
12126,2019,2,0.0,0.0
12177,2019,2,0.0,1.65
12228,2019,2,0.09,2.0
12330,2019,2,0.0,1.59
12381,2019,2,0.03,1.58
12432,2019,2,0.02,3.08
12483,2019,2,0.0,0.0
12534,2019,2,0.01,1.58
12585,2019,2,0.01,1.89
12636,2019,2,0.0,0.0
12687,2019,2,0.03,1.58
12738,2019,2,0.0,0.0
12789,2019,2,0.0,0.0
12840,2019,2,0.0,0.0
12942,2019,3,0.11,2.02
12993,2019,3,0.15,1.55
13044,2019,3,0.08,1.68
13095,2019,3,0.16,1.66
13146,2019,3,0.17,1.71
13197,2019,3,0.08,1.55
13248,2019,3,0.09,1.63
13299,2019,3,0.04,1.92
13350,2019,3,0.06,1.68
13401,2019,3,0.08,1.36
13452,2019,3,0.06,1.7
13503,2019,3,0.15,1.78
13554,2019,3,0.09,1.64
13605,2019,3,0.05,2.67
13656,2019,3,0.04,1.63
13707,2019,3,0.2,1.6
13758,2019,3,0.0,0.0
13860,2019,4,0.34,1.53
13911,2019,4,0.28,1.64
13962,2019,4,0.1,1.67
14013,2019,4,0.31,1.67
14064,2019,4,0.45,1.59
14115,2019,4,0.19,1.42
14166,2019,4,0.23,1.44
14217,2019,4,0.31,1.66
14268,2019,4,0.15,2.02
14319,2019,4,0.25,1.43
14370,2019,4,0.14,1.5
14421,2019,4,0.22,1.7
14472,2019,4,0.15,1.45
14523,2019,4,0.14,1.97
14574,2019,4,0.19,1.67
14625,2019,4,0.12,1.37
14676,2019,4,0.11,1.59
14778,2019,5,1.0,1.12
14829,2019,5,1.03,1.07
14880,2019,5,0.75,1.06
14931,2019,5,1.03,0.98
14982,2019,5,1.15,0.87
15033,2019,5,1.04,0.95
15084,2019,5,0.91,0.94
15135,2019,5,1.26,0.93
15186,2019,5,0.84,0.94
15237,2019,5,0.86,0.98
15288,2019,5,0.59,1.02
15339,2019,5,0.63,0.98
15390,2019,5,0.31,1.04
15441,2019,5,0.59,0.98
15492,2019,5,0.49,1.02
15543,2019,5,0.46,0.97
15594,2019,5,0.68,1.03
15696,2019,6,1.57,0.95
15747,2019,6,1.61,0.88
15798,2019,6,1.24,0.83
15849,2019,6,1.85,0.87
15900,2019,6,1.26,0.83
15951,2019,6,1.61,0.83
16002,2019,6,1.69,0.86
16053,2019,6,1.97,0.82
16104,2019,6,1.83,0.83
16155,2019,6,1.57,0.85
16206,2019,6,0.72,0.9
16257,2019,6,1.02,0.93
16308,2019,6,1.36,0.86
16359,2019,6,1.24,0.89
16410,2019,6,0.76,0.83
16461,2019,6,0.95,0.82
16512,2019,6,1.43,0.9
16614,2019,7,1.97,0.83
16665,2019,7,1.67,0.76
16716,2019,7,2.11,0.75
16767,2019,7,2.09,0.77
16818,2019,7,1.51,0.84
16869,2019,7,1.68,0.75
16920,2019,7,1.87,0.76
16971,2019,7,1.9,0.7
17022,2019,7,1.87,0.72
17073,2019,7,2.07,0.75
17124,2019,7,0.93,0.82
17175,2019,7,1.21,0.8
17226,2019,7,0.89,0.73
17277,2019,7,1.42,0.84
17328,2019,7,1.28,0.84
17379,2019,7,1.6,0.72
17430,2019,7,1.2,0.82
17532,2019,8,1.41,0.78
17583,2019,8,1.45,0.78
17634,2019,8,2.01,0.72
17685,2019,8,1.45,0.68
17736,2019,8,1.4,0.82
17787,2019,8,1.25,0.73
17838,2019,8,1.24,0.72
17889,2019,8,1.02,0.62
17940,2019,8,1.93,0.72
17991,2019,8,1.37,0.65
18042,2019,8,0.97,0.8
18093,2019,8,0.96,0.72
18144,2019,8,0.68,0.72
18195,2019,8,1.16,0.85
18246,2019,8,0.99,0.72
18297,2019,8,1.0,0.7
18348,2019,8,1.12,0.7
18450,2019,9,0.81,0.81
18501,2019,9,0.75,0.8
18552,2019,9,1.07,0.75
18603,2019,9,0.78,0.74
18654,2019,9,0.53,0.72
18705,2019,9,0.87,0.76
18756,2019,9,0.65,0.8
18807,2019,9,0.66,0.72
18858,2019,9,0.88,0.81
18909,2019,9,0.95,0.78
18960,2019,9,0.57,0.89
19011,2019,9,0.62,0.83
19062,2019,9,0.29,0.72
19113,2019,9,0.44,0.75
19164,2019,9,0.53,1.01
19215,2019,9,0.89,0.87
19266,2019,9,0.68,0.73
19368,2019,10,0.14,0.83
19419,2019,10,0.21,0.86
19470,2019,10,0.2,0.76
19521,2019,10,0.23,1.0
19572,2019,10,0.06,0.99
19623,2019,10,0.18,0.89
19674,2019,10,0.16,0.99
19725,2019,10,0.19,0.67
19776,2019,10,0.38,0.97
19827,2019,10,0.23,0.95
19878,2019,10,0.11,0.89
19929,2019,10,0.08,0.89
19980,2019,10,0.1,0.92
20031,2019,10,0.18,0.99
20082,2019,10,0.19,0.68
20133,2019,10,0.18,0.82
20184,2019,10,0.27,1.15
20286,2019,11,0.01,1.26
20337,2019,11,0.05,1.21
20388,2019,11,0.0,0.0
20439,2019,11,0.02,1.31
20490,2019,11,0.0,0.5
20541,2019,11,0.01,1.5
20592,2019,11,0.01,1.23
20643,2019,11,0.02,1.85
20694,2019,11,0.13,0.87
20745,2019,11,0.0,1.51
20796,2019,11,0.04,0.93
20847,2019,11,0.03,1.83
20898,2019,11,0.0,0.0
20949,2019,11,0.01,1.42
21000,2019,11,0.05,0.82
21051,2019,11,0.03,1.5
21102,2019,11,0.16,1.44
21204,2019,12,0.02,2.35
21255,2019,12,0.04,1.39
21306,2019,12,0.0,0.63
21357,2019,12,0.0,1.28
21408,2019,12,0.01,1.65
21459,2019,12,0.01,2.46
21510,2019,12,0.01,1.57
21561,2019,12,0.03,1.85
21612,2019,12,0.0,0.0
21663,2019,12,0.0,0.82
21714,2019,12,0.01,1.68
21765,2019,12,0.02,1.65
21816,2019,12,0.0,0.0
21918,2019,12,0.0,0.0
21969,2019,12,0.01,1.51
22020,2019,12,0.04,1.29
